time,cmd_linear,cmd_angular,VelocityEncR,VelocityEncL
9.3630,0.2000,0.0000,2.3540,1.4127
9.3840,0.2000,0.0000,3.0763,2.6483
9.4042,0.2000,0.0000,3.2279,3.5211
9.4234,0.2000,0.0000,3.2279,3.5211
9.4433,0.2000,0.0000,3.2279,3.5211
9.4635,0.2000,0.0000,3.2279,3.5211
9.4834,0.2000,0.0000,3.2279,3.5211
9.5038,0.2000,0.0000,3.2279,3.5211
9.5233,0.2000,0.0000,3.2279,3.5211
9.5429,0.2000,0.0000,4.1708,4.1962
9.5630,0.2000,0.0000,4.2061,4.2065
9.5834,0.2000,0.0000,4.2061,4.2065
9.6035,0.2000,0.0000,4.2061,4.2065
9.6232,0.2000,0.0000,4.2061,4.2065
9.6433,0.2000,0.0000,4.2061,4.2065
9.6631,0.2000,0.0000,4.2061,4.2065
9.6835,0.2000,0.0000,4.2061,4.2065
9.7031,0.2000,0.0000,4.2244,3.8404
9.7230,0.2000,0.0000,3.8577,3.8598
9.7429,0.2000,0.0000,3.8577,3.8598
9.7631,0.2000,0.0000,3.8577,3.8598
9.7832,0.2000,0.0000,3.8577,3.8598
9.8031,0.2000,0.0000,3.8577,3.8598
9.8232,0.2000,0.0000,3.8577,3.8598
9.8430,0.2000,0.0000,3.8786,3.8786
9.8630,0.2000,0.0000,3.4351,3.5566
9.8831,0.2000,0.0000,3.4351,4.1989
9.9032,0.2000,0.0000,3.4351,4.1989
9.9232,0.2000,0.0000,3.4351,4.1989
9.9433,0.2000,0.0000,3.4351,4.1989
9.9634,0.2000,0.0000,3.4351,4.1989
9.9832,0.2000,0.0000,3.8545,3.8506
10.0033,0.2000,0.0000,3.8545,3.8506
10.0233,0.2000,0.0000,4.2223,4.2223
10.0434,0.2000,0.0000,4.2223,4.2223
10.0632,0.2000,0.0000,4.2223,4.2223
10.0834,0.2000,0.0000,4.2223,4.2223
10.1037,0.2000,0.0000,4.2223,4.2223
10.1232,0.2000,0.0000,4.2223,4.2223
10.1431,0.2000,0.0000,4.2223,4.2223
10.1630,0.2000,0.0000,4.2223,4.2223
10.1832,0.2000,0.0000,4.2223,4.2223
10.2029,0.2000,0.0000,4.1701,3.8490
10.2231,0.2000,0.0000,4.1712,4.1715
10.2439,0.2000,0.0000,4.1920,3.8427
10.2631,0.2000,0.0000,4.1920,3.8427
10.2833,0.2000,0.0000,4.1920,3.8427
10.3031,0.2000,0.0000,4.1920,3.8427
10.3231,0.2000,0.0000,4.1920,3.8427
10.3431,0.2000,0.0000,4.1920,3.8427
10.3633,0.2000,0.0000,4.2046,3.5016
10.3834,0.2000,0.0000,3.8412,3.8412
10.4030,0.2000,0.0000,4.4913,4.1943
10.4233,0.2000,0.0000,4.4913,4.1943
10.4432,0.2000,0.0000,4.4913,4.1943
10.4632,0.2000,0.0000,4.4913,4.1943
10.4834,0.2000,0.0000,4.4913,4.1943
10.5032,0.2000,0.0000,4.4913,4.1943
10.5231,0.2000,0.0000,4.2215,4.1580
10.5431,0.2000,0.0000,3.8486,4.2219
10.5630,0.2000,0.0000,4.1603,3.8153
10.5831,0.2000,0.0000,4.1603,3.8153
10.6032,0.2000,0.0000,4.1603,3.8153
10.6230,0.2000,0.0000,4.1603,3.8153
10.6430,0.2000,0.0000,4.1603,3.8153
10.6631,0.2000,0.0000,4.1603,3.8153
10.6834,0.2000,0.0000,3.8388,3.8392
10.7044,0.2000,0.0000,3.8441,3.8464
10.7230,0.2000,0.0000,3.8542,3.8542
10.7433,0.2000,0.0000,3.8542,3.8542
10.7632,0.2000,0.0000,3.8542,3.8542
10.7830,0.2000,0.0000,3.8542,3.8542
10.8030,0.2000,0.0000,3.8542,3.8542
10.8231,0.2000,0.0000,3.8542,3.8542
10.8433,0.2000,0.0000,3.8535,3.8489
10.8630,0.2000,0.0000,3.8542,4.1973
10.8830,0.2000,0.0000,3.8455,4.1660
10.9032,0.2000,0.0000,3.8517,4.1660
10.9232,0.2000,0.0000,4.2186,3.8941
10.9429,0.2000,0.0000,3.8519,4.1931
10.9629,0.2000,0.0000,4.2008,3.8496
10.9836,0.2000,0.0000,3.8563,3.5057
11.0029,0.2000,0.0000,3.5351,3.8564
11.0231,0.2000,0.0000,4.2061,4.2065
11.0430,0.2000,0.0000,3.8485,3.8488
11.0630,0.2000,0.0000,3.8461,4.1401
11.0829,0.2000,0.0000,3.8535,3.8510
11.1031,0.2000,0.0000,4.1992,3.8765
11.1233,0.2000,0.0000,3.8305,3.8301
